地點,收費1,尺寸1,lat,lng,收費2,尺寸2,收費3,尺寸3,收費4,尺寸4,收費5,尺寸5,收費6,尺寸6
基隆站,20元／3小時,深60*高30*寬40（電子式）,25.1325,121.738366,40元／3小時,深60*高60*寬40（電子式）,,,,,,,,
七堵站,20元／3小時,深60*高35*寬40（電子式）,25.093359,121.713868,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
汐止站,20元／3小時,深45*高30*寬40（電子式）,25.068224,121.661757,50元／3小時,深45*高85*寬40（電子式）,,,,,,,,
南港站,20元／3小時,深60*高35*寬40（電子式）,25.05314,121.607019,30元／3小時,深60*高45*寬40（電子式）,40元／3小時,深60*高60*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,
松山站,20元／3小時,深60*高30*寬40（電子式）,25.04933,121.577965,20元／3小時,深60*高35*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,,,
臺北站,20元／3小時,深60*高35*寬40（觸控式）,25.047503,121.517047,30元／3小時,深60*高45*寬40（觸控式）,40元／3小時,深90*高30*寬40（觸控式）,50元／3小時,深60*高90*寬40（觸控式）,50元／3小時,深90*高40*寬40（觸控式）,70元／3小時,深90*高90*寬40（觸控式）
板橋站,25元／3小時,深60*高35*寬40（電子式）,25.014399,121.463497,30元／3小時,深60*高45*寬40（電子式）,40元／3小時,深60*高60*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,70元／3小時,深60*高90*寬80（電子式,,
樹林站,20元／3小時,深60*高35*寬40（電子式）,24.991348,121.424564,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
桃園站,20元／3小時,深60*高35*寬40（電子式）,24.989209,121.313499,30元／3小時,深60*高45*寬40（電子式）,40元／3小時,深60*高60*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,
中壢站,20元／3小時,深60*高35*寬40（電子式）,24.953666,121.225798,30元／3小時,深60*高45*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,,,
新竹站,20元／3小時,深60*高35*寬40（電子式）,24.808746,120.98367,30元／3小時,深60*高45*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,,,
竹南站,20元／3小時,深60*高35*寬40（電子式）,24.686562,120.880888,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
苗栗站,20元／3小時,深60*高35*寬40（電子式）,24.570036,120.822319,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
豐原站,20元／3小時,深60*高35*寬40（電子式）,120.822319,120.723447,40元／3小時,深60*高60*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,,,
臺中站,20元／3小時,深60*高35*寬40（電子式）,24.136955,120.686827,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
彰化站,20元／3小時,深60*高35*寬40（電子式）,24.081666,120.538539,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
員林站,20元／3小時,深60*高35*寬40（電子式）,23.959258,120.56965,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
田中站,20元／3小時,深60*高35*寬40（電子式）,23.858503,120.591396,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
斗六站,20元／3小時,深60*高35*寬40（電子式）,23.711813,120.541146,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
嘉義站,20元／3小時,深60*高35*寬40（電子式）,23.479139,120.441026,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
臺南站,20元／3小時,深60*高30*寬40（電子式）,22.997144,120.212966,,,,,,,,,,
長榮大學站,20元／3小時,深60*高35*寬40（電子式）,22.907187,120.272176,50元／3小時,深45*高85*寬40（電子式）,,,,,,,,
高雄站,20元／3小時,深60*高35*寬40（電子式）,22.63962,120.302111,30元／3小時,深60*高45*寬40（電子式）,40元／3小時,深60*高60*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,
屏東站,20元／3小時,深60*高35*寬40（電子式）,22.669306,120.486203,30元／3小時,深60*高45*寬40（電子式）,40元／3小時,深60*高60*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,
潮州站,20元／3小時,深60*高35*寬40（電子式）,22.550086,120.53642,50元／3小時,深60*高90*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,,,
瑞芳站,20元／3小時,深60*高35*寬40（電子式）,25.108928,121.806149,,,,,,,,,,
雙溪站,20元／3小時,深60*高35*寬40（電子式）,25.038544,121.866548,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
福隆站,30元／3小時,深60*高45*寬40（電子式）,25.015893,121.944659,40元／3小時,深60*高60*寬40（電子式）,50元／3小時,深60*高90*寬40（電子式）,,,,,,
礁溪站,30元／日,深45*高30*寬25（鎖匙式）,24.82703,121.775354,50元／日,深60*高35*寬33（鎖匙式）,,,,,,,,
宜蘭站,20元／3小時,深60*高35*寬40（電子式）,24.754512,121.758253,50元／3小時,深60*高90*寬40（電子式）,,,,,,,,
羅東站,30元／日,深45*高30*寬25（鎖匙式）,24.677929,121.774629,50元／日,深60*高35*寬33（鎖匙式）,,,,,,,,
凱旋站,20元/日,高 30/寬 35/深 43,22.597069,120.315393,30元/日,高 65/寬 35/深 43,,,,,,,,
獅甲站,30元/日,高 65/寬 35/深 43,22.606141,120.307731,50元/日,高 80/寬 38/深 58,,,,,,,,
三多商圈站,20元/日,高 30/寬 35/深 43,22.614146,120.304592,30元/日,高 65/寬 35/深 43,50元/日,高 80/寬 38/深 58,,,,,,
中央公園站,20元/日,高 30/寬 35/深 43,22.624927,120.301274,30元/日,高 65/寬 35/深 43,,50元/日,高 80/寬 38/深 58,,,,,
美麗島站,20元/日,高 30/寬 35/深 43,22.631382,120.301978,30元/日,高 65/寬 35/深 43,50元/日,高 80/寬 38/深 58,,,,,,
高雄車站,20元/日,高 30/寬 35/深 43,22.639268,120.302369,30元/日,高 65/寬 35/深 43,50元/日,高 80/寬 38/深 58,,,,,,
後驛站,20元/日,高 30/寬 35/深 43,22.648514,120.303282,30元/日,高 65/寬 35/深 43,,,,,,,,
凹子底站,30元/日,高 65/寬 35/深 43,22.656296,120.302552,50元/日,高 80/寬 38/深 58,,,,,,,,
巨蛋站,20元/日,高 30/寬 35/深 43,22.666593,120.30313,30元/日,高 65/寬 35/深 43,50元/日,高 80/寬 38/深 58,,,,,,
左營站,20元/日,高 30/寬 35/深 43,22.687845,120.308915,30元/日,高 65/寬 35/深 43,50元/日,高 80/寬 38/深 58,,,,,,
西子灣站,20元/日,高 30/寬 35/深 43,22.622107,120.274194,30元/日,高 65/寬 35/深 43,50元/日,高 80/寬 38/深 58,,,,,,
鹽埕埔站,20元/日,高 30/寬 35/深 43,22.625409,120.285335,30元/日,高 65/寬 35/深 43,50元/日,高 80/寬 38/深 58,,,,,,
市議會站,30元/日,高 65/寬 35/深 43,22.628949,120.294738,50元/日,高 80/寬 38/深 58,,,,,,,,
文化中心站,,,,,,,,,,,,,,
",20元/日,高 30/寬 35/深 43,22.630306,120.317742,30元/日,高 65/寬 35/深 43,,,,,,,,",,,,,,,,,,,,,,
衛武營站,30元/日,高 65/寬 35/深 43,22.625536,120.340797,50元/日,高 80/寬 38/深 58,,,,,,,,
大東站,20元/日,高 30/寬 35/深 43,22.625607,120.363133,30元/日,高 65/寬 35/深 43,,,,,,,,
